text,emoji,role/link,long_name,create_channels
CEG 6424,,CEG 4424,Security Attacks & Defenses,
CEG 6430,,CEG 4430,Cyber Network Security,
CEG 7030,,CEG 7030,VLSI Design Synthesis and Optimization,"#ceg7030,0#Student Voice,2#TA Voice"
CEG 7060,,CEG 7060,Advanced Robotics,"#ceg7060,0#Student Voice,2#TA Voice"
CEG 7360,,CEG 7360,Embedded Systems,"#ceg7360,0#Student Voice,2#TA Voice"
CEG 7370,,CEG 7370,Distributed Computing,"#ceg7370,0#Student Voice,2#TA Voice"
CEG 7380,,CEG 7380,Cloud Computing,"#ceg7380,0#Student Voice,2#TA Voice"
CEG 7450,,CEG 7450,Advanced Computer Networks,"#ceg7450,0#Student Voice,2#TA Voice"
CEG 7470,,CEG 7470,Advanced Wireless Networks,"#ceg7470,0#Student Voice,2#TA Voice"
CEG 7580,,CEG 7580,Digital Image Processing,"#ceg7580,0#Student Voice,2#TA Voice"
CS 1000,,CS 1000,Technology and Society,"#cs1000,0#Student Voice,2#TA Voice"
CS 1030,,CS 1030,Survey of CS and CEG,"#cs1030,0#Student Voice,2#TA Voice"
CS 1150,,CS 1150,Introduction to Computer Science,"#cs1150,0#Student Voice,2#TA Voice"
CS 1160,,CS 1160,Introduction to Computer Programming,"#cs1160,0#Student Voice,2#TA Voice"
CS 1180,,CS 1180,Computer Science I,"#cs1180,0#Student Voice,2#TA Voice"
CS 1181,,CS 1181,Computer Science II,"#cs1181,0#Student Voice,2#TA Voice"
CS 2200,,CS 2200,Discrete Structures and Their Algorithms,"#cs2200,0#Student Voice,2#TA Voice"
CS 2800,,CS 2800,Web Development I,"#cs2800,0#Student Voice,2#TA Voice"
CS 2900,,CS 2900,Independent Study,"#cs2900,0#Student Voice,2#TA Voice"
CS 3100,,CS 3100,Data Structures and Algorithms,"#cs3100,0#Student Voice,2#TA Voice"
CS 3170,,CS 3170,Mobile Application Development,"#cs3170,0#Student Voice,2#TA Voice"
CS 3180,,CS 3180,Comparative Languages,"#cs3180,0#Student Voice,2#TA Voice"
CS 3200,,CS 3200,Theoretical Foundations of Computing,"#cs3200,0#Student Voice,2#TA Voice"
CS 3700,,CS 3700,Introduction to Databases & Modeling,"#cs3700,0#Student Voice,2#TA Voice"
CS 4270,,CS 4270,Optimization Techniques,"#cs4270,0#Student Voice,2#TA Voice"
CS 4280,,CS 4280,Combinatorics and Graph Theory,"#cs4280,0#Student Voice,2#TA Voice"
CS 4290,,CS 4290,Cryptography and Data Security,"#cs4290,0#Student Voice,2#TA Voice"
CS 4370,,CS 4370,Parallel Programming for Many-Core GPUs,"#cs4370,0#Student Voice,2#TA Voice"
CS 4700,,CS 4700,Database Management Systems,"#cs4700,0#Student Voice,2#TA Voice"
CS 4830,,CS 4830,Systems Simulation,"#cs4830,0#Student Voice,2#TA Voice"
CS 4840,,CS 4840,Intro Machine Learning,"#cs4840,0#Student Voice,2#TA Voice"
CS 4850,,CS 4850,Foundations of Artificial Intelligence,"#cs4850,0#Student Voice,2#TA Voice"
CS 4900,,CS 4900,Quantum Computing,"#cs4900,0#Student Voice,2#TA Voice"
CS 5100,,CS 3100,Data Structures and Algorithms,
CS 5160,,CS 5160,Computer Science Fundamentals,"#cs5160,0#Student Voice,2#TA Voice"
CS 6270,,CS 4270,Optimization Techniques,
CS 6280,,CS 4280,Combinatorics and Graph Theory,
CS 6290,,CS 4290,Cryptography and Data Security,
CS 6370,,CS 4370,Parallel Programming for Many-Core GPUs,
CS 6700,,CS 4700,Database Management Systems,
CS 6830,,CS 4830,Systems Simulation,
CS 6840,,CS 4840,Intro Machine Learning,
CS 6850,,CS 4850,Foundations of Artificial Intelligence,
CS 6900,,CS 4900,Quantum Computing,
CS 7060,,CS 7060,Numerical Analysis I,"#cs7060,0#Student Voice,2#TA Voice"
CS 7100,,CS 7100,Advanced Programming Languages,"#cs7100,0#Student Voice,2#TA Voice"
CS 7200,,CS 7200,Algorithm Design and Analysis,"#cs7200,0#Student Voice,2#TA Voice"
CS 7220,,CS 7220,Computability and Complexity,"#cs7220,0#Student Voice,2#TA Voice"
CS 7600,,CS 7600,Trust Networks,"#cs7600,0#Student Voice,2#TA Voice"
CS 7830,,CS 7830,Machine Learning,"#cs7830,0#Student Voice,2#TA Voice"
CS 7900 (Intro Quantum Comp Grad Stdnts),,CS 7900 (Intro Quantum Comp Grad Stdnts),Intro Quantum Comp Grad Stdnts,"#cs-7900-ann-&-deep-learning,0#Student Voice,2#TA Voice"
CS 7900 (Al Appls for Smart Cities),,CS 7900 (Al Appls for Smart Cities),Al Appls for Smart Cities,"#cs-7900-advanced-quantum-computing,0#Student Voice,2#TA Voice"
EE 1000,,EE 1000,Introduction to Electrical Engineering,"#ee1000,0#Student Voice,2#TA Voice"
EE 2000,,EE 2000,Digital Design with HDL,"#ee2000,0#Student Voice,2#TA Voice"
EE 2010,,EE 2010,Analog Circuit Theory,"#ee2010,0#Student Voice,2#TA Voice"
EE 2011,,EE 2010,Analog Circuit Techniques,
EE 3210,,EE 3210,Continuous Linear Systems,"#ee3210,0#Student Voice,2#TA Voice"
EE 3260,,EE 3260,Random Signals and Noise,"#ee3260,0#Student Voice,2#TA Voice"
EE 3310,,EE 3310,Electronic Devices and Circuits,"#ee3310,0#Student Voice,2#TA Voice"
EE 3450,,EE 3450,Introduction to Electromagnetics,"#ee3450,0#Student Voice,2#TA Voice"
EE 4000,,EE 4000,Discrete Linear Systems,"#ee4000,0#Student Voice,2#TA Voice"
EE 4100,,EE 4100,Nano-Fabrication of Integrated Solid State Devices,"#ee4100,0#Student Voice,2#TA Voice"
EE 4120,,EE 4120,Industrial Controls and Automation,"#ee4120,0#Student Voice,2#TA Voice"
EE 4130,,EE 4130,Continuous Control Systems,"#ee4130,0#Student Voice,2#TA Voice"
EE 4210,,EE 4210,Digital Communication,"#ee4210,0#Student Voice,2#TA Voice"
EE 4360,,EE 4360,"Digital Signal Processing: Theory, Application and Implementation","#ee4360,0#Student Voice,2#TA Voice"
EE 4540,,CEG 4322,Very Large Scale Integrated Circuit Design,
EE 4600,,EE 4600,Autonomous UAV Flight Control,"#ee4600,0#Student Voice,2#TA Voice"
EE 4620,,CEG 4324,Digital Integrated Circuit Design with PLDs and FPGAs,
EE 4750,,EE 4750,Introduction to Radar Systems,"#ee4750,0#Student Voice,2#TA Voice"
EE 4910,,CEG 4980,Electrical Engineering Senior Design Project I,
EE 4920,,CEG 4981,Electrical Engineering Senior Design Project II,
EE 6000,,EE 4000,Discrete Linear Systems,
EE 6100,,EE 4100,Nano-Fabrication of Integrated Solid State Devices,
EE 6120,,EE 4120,Industrial Controls and Automation,
EE 6130,,EE 4130,Continuous Control Systems,
EE 6210,,EE 4210,Digital Communication,
EE 6360,,EE 4360,"Digital Signal Processing: Theory, Application and Implementation",
EE 6540,,CEG 4322,Very Large Scale Integrated Circuit Design,
EE 6600,,EE 4600,Autonomous UAV Flight Control,
EE 6620,,CEG 4324,Digital Integrated Circuit Design with PLDs and FPGAs,
EE 6750,,EE 4750,Introduction to Radar Systems,
EE 7010,,EE 7010,Linear Systems,"#ee7010,0#Student Voice,2#TA Voice"
EE 7020,,EE 7020,Modern Control I,"#ee7020,0#Student Voice,2#TA Voice"
EE 7150,,CEG 7580,Digital Image Processing,
EE 7350,,EE 7350,Wireless Communication Techniques,"#ee7350,0#Student Voice,2#TA Voice"
EE 7410,,EE 7410,Power Electronics I,"#ee7410,0#Student Voice,2#TA Voice"
EE 7530,,CEG 7030,VLSI Design Synthesis and Optimization,
EE 7560,,CEG 7060,Advanced Robotics,
EE 7610,,EE 7610,Random Processes,"#ee7610,0#Student Voice,2#TA Voice"
