text,emoji,role/link,long_name,create_channels
CEG 3310,,CEG 3310,Computer Organization,"#ceg3310,0#Student Voice,2#TA Voice"
CEG 4324,,CEG 4324,Digital Integrated Circuit Design with PLDs and FPGAs,"#ceg4324,0#Student Voice,2#TA Voice"
CEG 4350,,CEG 4350,Operating System Internals and Design,"#ceg4350,0#Student Voice,2#TA Voice"
CEG 5310,,CEG 3310,Computer Organization,
CEG 5350,,CEG 4350,Operating System Internals and Design,
CEG 6324,,CEG 4324,Digital Integrated Circuit Design with PLDs and FPGAs,
CEG 7450,,CEG 7450,Advanced Computer Networks,"#ceg7450,0#Student Voice,2#TA Voice"
CS 1000,,CS 1000,Technology and Society,"#cs1000,0#Student Voice,2#TA Voice"
CS 1180,,CS 1180,Computer Science I,"#cs1180,0#Student Voice,2#TA Voice"
CS 1181,,CS 1181,Computer Science II,"#cs1181,0#Student Voice,2#TA Voice"
CS 3100,,CS 3100,Data Structures and Algorithms,"#cs3100,0#Student Voice,2#TA Voice"
CS 3900,,CS 3900,Game Programming,"#cs3900,0#Student Voice,2#TA Voice"
CS 4290,,CS 4290,Cryptography and Data Security,"#cs4290,0#Student Voice,2#TA Voice"
CS 5100,,CS 3100,Data Structures and Algorithms,
CS 6290,,CS 4290,Cryptography and Data Security,
CS 7120,,CS 7120,Functional and Logic Programming,"#cs7120,0#Student Voice,2#TA Voice"
CS 7140,,CS 7140,Advanced Software Engineering,"#cs7140,0#Student Voice,2#TA Voice"
CS 7700,,CS 7700,Advanced Database Systems,"#cs7700,0#Student Voice,2#TA Voice"
CS 7800,,CS 7800,Information Retrieval,"#cs7800,0#Student Voice,2#TA Voice"
CS 7900,,CS 7900,Multimodal Data Analysis,"#cs7900,0#Student Voice,2#TA Voice"
EE 2010,,EE 2010,Analog Circuit Theory,"#ee2010,0#Student Voice,2#TA Voice"
EE 4000,,EE 4000,Discrete Linear Systems,"#ee4000,0#Student Voice,2#TA Voice"
EE 4620,,CEG 4324,Digital Integrated Circuit Design with PLDs and FPGAs,
EE 4700,,EE 4700,Introduction to MEMS,"#ee4700,0#Student Voice,2#TA Voice"
EE 6000,,EE 4000,Discrete Linear Systems,
EE 6620,,CEG 4324,Digital Integrated Circuit Design with PLDs and FPGAs,
EE 6700,,EE 4700,Introduction to MEMS,
EE 7430,,EE 7430,High Frequency Magnetic Components,"#ee7430,0#Student Voice,2#TA Voice"
EE 7510,,EE 7510,Digital Wideband Receiver Design,"#ee7510,0#Student Voice,2#TA Voice"
