"text","emoji","role/link","long_name","create_channels"
"CEG 6324",,"CEG 4324","Digital Integrated Circuit Design with PLDs and FPGAs",
"CEG 6330",,"CEG 6330","Microprocessor-Based Embedded Systems",
"CEG 6420",,"CEG 4420","Host Computer Security",
"CEG 6422",,"CEG 4422","Secure Computing Practices",
"CEG 6424",,"CEG 6424","Security Attacks & Defenses","#ceg6424,0#Student Voice,2#TA Voice"
"CEG 6430",,"CEG 4430","Cyber Network Security",
"CEG 7370",,"CEG 7370","Distributed Computing","#ceg7370,0#Student Voice,2#TA Voice"
"CEG 7380",,"CEG 7380","Cloud Computing","#ceg7380,0#Student Voice,2#TA Voice"
"CEG 7450",,"CEG 7450","Advanced Computer Networks","#ceg7450,0#Student Voice,2#TA Voice"
"CEG 7580",,"CEG 7580","Digital Image Processing","#ceg7580,0#Student Voice,2#TA Voice"
"CS 1000",,"CS 1000","Technology and Society","#cs1000,0#Student Voice,2#TA Voice"
"CS 1010",,"CS 1010","Introduction to Computers and Office Productivity Software","#cs1010,0#Student Voice,2#TA Voice"
"CS 1030",,"CS 1030","Survey of CS and CEG","#cs1030,0#Student Voice,2#TA Voice"
"CS 1150",,"CS 1150","Introduction to Computer Science","#cs1150,0#Student Voice,2#TA Voice"
"CS 1160",,"CS 1160","Introduction to Computer Programming","#cs1160,0#Student Voice,2#TA Voice"
"CS 1180",,"CS 1180","Computer Science I","#cs1180,0#Student Voice,2#TA Voice"
"CS 1181",,"CS 1181","Computer Science II","#cs1181,0#Student Voice,2#TA Voice"
"CS 1300",,"CS 1300","Data Science for Everyone","#cs1300,0#Student Voice,2#TA Voice"
"CS 2200",,"CS 2200","Discrete Structures and Their Algorithms","#cs2200,0#Student Voice,2#TA Voice"
"CS 2800",,"CS 2800","Web Development I","#cs2800,0#Student Voice,2#TA Voice"
"CS 2900 (Virtualization Special Topics)",,"CS 2900 (Virtualization Special Topics)","Virtualization Special Topics","#cs-2900-virtualization-special-topics,0#Student Voice,2#TA Voice"
"CS 2900 (Professional IT Practices)",,"CS 2900 (Professional IT Practices)","Professional IT Practices","#cs-2900-professional-it-practices,0#Student Voice,2#TA Voice"
"CS 3100",,"CS 3100","Data Structures and Algorithms","#cs3100,0#Student Voice,2#TA Voice"
"CS 3170",,"CS 3170","Mobile Application Development","#cs3170,0#Student Voice,2#TA Voice"
"CS 3180",,"CS 3180","Comparative Languages","#cs3180,0#Student Voice,2#TA Voice"
"CS 3200",,"CS 3200","Theoretical Foundations of Computing","#cs3200,0#Student Voice,2#TA Voice"
"CS 3260",,"CS 3260","Numerical Methods for Computational Science","#cs3260,0#Student Voice,2#TA Voice"
"CS 3700",,"CS 3700","Introduction to Databases & Modeling","#cs3700,0#Student Voice,2#TA Voice"
"CS 4270",,"CS 4270","Optimization Techniques","#cs4270,0#Student Voice,2#TA Voice"
"CS 4280",,"CS 4280","Combinatorics and Graph Theory","#cs4280,0#Student Voice,2#TA Voice"
"CS 4370",,"CS 4370","Parallel Programming for Many-Core GPUs","#cs4370,0#Student Voice,2#TA Voice"
"CS 4700",,"CS 4700","Database Management Systems","#cs4700,0#Student Voice,2#TA Voice"
"CS 4850",,"CS 4850","Foundations of Artificial Intelligence","#cs4850,0#Student Voice,2#TA Voice"
"CS 4900",,"CS 4900","Quantum Computing","#cs4900,0#Student Voice,2#TA Voice"
"CS 5160",,"CS 5160","Computer Science Fundamentals","#cs5160,0#Student Voice,2#TA Voice"
"CS 6270",,"CS 4270","Optimization Techniques",
"CS 6280",,"CS 4280","Combinatorics and Graph Theory",
"CS 6370",,"CS 4370","Parallel Programming for Many-Core GPUs",
"CS 6700",,"CS 4700","Database Management Systems",
"CS 6850",,"CS 4850","Foundations of Artificial Intelligence",
"CS 6900",,"CS 4900","Quantum Computing",
"CS 7100",,"CS 7100","Advanced Programming Languages","#cs7100,0#Student Voice,2#TA Voice"
"CS 7200",,"CS 7200","Algorithm Design and Analysis","#cs7200,0#Student Voice,2#TA Voice"
"CS 7600",,"CS 7600","Trust Networks","#cs7600,0#Student Voice,2#TA Voice"
"CS 7830",,"CS 7830","Machine Learning","#cs7830,0#Student Voice,2#TA Voice"
"CS 7900 (ANN & Deep Learning)",,"CS 7900 (ANN & Deep Learning)","ANN & Deep Learning","#cs-7900-ann-&-deep-learning,0#Student Voice,2#TA Voice"
"CS 7900 (Advanced Quantum Computing)",,"CS 7900 (Advanced Quantum Computing)","Advanced Quantum Computing","#cs-7900-advanced-quantum-computing,0#Student Voice,2#TA Voice"
"EE 1000",,"EE 1000","Introduction to Electrical Engineering","#ee1000,0#Student Voice,2#TA Voice"
"EE 2000",,"EE 2000","Digital Design with HDL","#ee2000,0#Student Voice,2#TA Voice"
"EE 2010",,"EE 2010","Analog Circuit Theory","#ee2010,0#Student Voice,2#TA Voice"
"EE 2011",,"EE 2011","Analog Circuit Techniques","#ee2011,0#Student Voice,2#TA Voice"
"EE 3210",,"EE 3210","Linear Systems I","#ee3210,0#Student Voice,2#TA Voice"
"EE 3260",,"EE 3260","Random Signals and Noise","#ee3260,0#Student Voice,2#TA Voice"
"EE 3310",,"EE 3310","Electronic Devices and Circuits","#ee3310,0#Student Voice,2#TA Voice"
"EE 3450",,"EE 3450","Introduction to Electromagnetics","#ee3450,0#Student Voice,2#TA Voice"
"EE 4000",,"EE 4000","Linear Systems II","#ee4000,0#Student Voice,2#TA Voice"
"EE 4100",,"EE 4100","Nano-Fabrication of Integrated Solid State Devices","#ee4100,0#Student Voice,2#TA Voice"
"EE 4120",,"EE 4120","Industrial Controls and Automation","#ee4120,0#Student Voice,2#TA Voice"
"EE 4130",,"EE 4130","Continuous Control Systems","#ee4130,0#Student Voice,2#TA Voice"
"EE 4190",,"EE 4190","Introduction to Intelligent Control Systems","#ee4190,0#Student Voice,2#TA Voice"
"EE 4210",,"EE 4210","Digital Communication","#ee4210,0#Student Voice,2#TA Voice"
"EE 4360",,"EE 4360","Digital Signal Processing: Theory, Application and Implementation","#ee4360,0#Student Voice,2#TA Voice"
"EE 4540",,"CEG 4322","Very Large Scale Integrated Circuit Design",
"EE 4560",,"CEG 4230","Introduction to Robotics",
"EE 4620",,"CEG 4324","Digital Integrated Circuit Design with PLDs and FPGAs",
"EE 4750",,"EE 4750","Introduction to Radar Systems","#ee4750,0#Student Voice,2#TA Voice"
"EE 4810",,"EE 4810","Full-Time Curricular Practical Training in Electrical Engineering","#ee4810,0#Student Voice,2#TA Voice"
"EE 4820",,"EE 4820","Part-Time Curricular Practical Training in Electrical Engineering","#ee4820,0#Student Voice,2#TA Voice"
"EE 4830",,"EE 4830","Internship in Electrical Engineering","#ee4830,0#Student Voice,2#TA Voice"
"EE 4910",,"EE 4910","Electrical Engineering Senior Design Project I","#ee4910,0#Student Voice,2#TA Voice"
"EE 4920",,"EE 4920","Electrical Engineering Senior Design Project II","#ee4920,0#Student Voice,2#TA Voice"
"EE 6000",,"EE 4000","Linear Systems II",
"EE 6100",,"EE 4100","Nano-Fabrication of Integrated Solid State Devices",
"EE 6120",,"EE 4120","Industrial Controls and Automation",
"EE 6130",,"EE 4130","Continuous Control Systems",
"EE 6190",,"EE 4190","Introduction to Intelligent Control Systems",
"EE 6210",,"EE 4210","Digital Communication",
"EE 6360",,"EE 4360","Digital Signal Processing: Theory, Application and Implementation",
"EE 6540",,"CEG 4322","Very Large Scale Integrated Circuit Design",
"EE 6560",,"CEG 4230","Introduction to Robotics",
"EE 6620",,"CEG 4324","Digital Integrated Circuit Design with PLDs and FPGAs",
"EE 6750",,"EE 4750","Introduction to Radar Systems",
"EE 7020",,"EE 7020","Modern Control I","#ee7020,0#Student Voice,2#TA Voice"
"EE 7150",,"CEG 7580","Digital Image Processing",
"EE 7370",,"EE 7370","Advanced Electronic Warfare","#ee7370,0#Student Voice,2#TA Voice"
"EE 7430",,"EE 7430","High Frequency Magnetic Components","#ee7430,0#Student Voice,2#TA Voice"
"EE 7510",,"EE 7510","Digital Wideband Receiver Design","#ee7510,0#Student Voice,2#TA Voice"
"EE 7610",,"EE 7610","Random Processes","#ee7610,0#Student Voice,2#TA Voice"
"ME 1020",,"ME 1020","Engineering Programming with Matlab","#me1020,0#Student Voice,2#TA Voice"
"ME 1040",,"ME 1040","Engineering Design and Solid Modeling","#me1040,0#Student Voice,2#TA Voice"
"ME 2120",,"ME 2120","Statics","#me2120,0#Student Voice,2#TA Voice"
"ME 2210",,"ME 2210","Dynamics","#me2210,0#Student Voice,2#TA Voice"
"ME 2600",,"ME 2600","Metallography","#me2600,0#Student Voice,2#TA Voice"
"ME 2700",,"ME 2700","Structure and Properties of Materials I","#me2700,0#Student Voice,2#TA Voice"
"ME 3120",,"ME 3120","Mechanics of Materials","#me3120,0#Student Voice,2#TA Voice"
"ME 3210",,"ME 3210","System Dynamics","#me3210,0#Student Voice,2#TA Voice"
"ME 3310",,"ME 3310","Thermodynamics I","#me3310,0#Student Voice,2#TA Voice"
"ME 3320",,"ME 3320","Thermodynamics II","#me3320,0#Student Voice,2#TA Voice"
"ME 3350",,"ME 3350","Fluid Dynamics","#me3350,0#Student Voice,2#TA Voice"
"ME 3360",,"ME 3360","Heat Transfer","#me3360,0#Student Voice,2#TA Voice"
"ME 3600",,"ME 3600","Experimental Measurements and Instrumentation","#me3600,0#Student Voice,2#TA Voice"
"ME 3750",,"ME 3750","Thermodynamics of Materials","#me3750,0#Student Voice,2#TA Voice"
"ME 4010",,"ME 4010","Computational Methods for Mechanical Engineering","#me4010,0#Student Voice,2#TA Voice"
"ME 4120",,"ME 4120","Finite Element Analysis","#me4120,0#Student Voice,2#TA Voice"
"ME 4121",,"EE 4120","Industrial Controls and Automation",
"ME 4140",,"ME 4140","Mechanical Design I","#me4140,0#Student Voice,2#TA Voice"
"ME 4150",,"ME 4150","Mechanical Design II","#me4150,0#Student Voice,2#TA Voice"
"ME 4210",,"ME 4210","Mechanical Vibration","#me4210,0#Student Voice,2#TA Voice"
"ME 4550",,"ME 4550","Geothermal Energy","#me4550,0#Student Voice,2#TA Voice"
"ME 4570",,"ME 4570","Energy Materials","#me4570,0#Student Voice,2#TA Voice"
"ME 4620",,"ME 4620","Mechanics and Materials Testing Lab","#me4620,0#Student Voice,2#TA Voice"
"ME 4720",,"ME 4720","Engineering Polymers","#me4720,0#Student Voice,2#TA Voice"
"ME 4730",,"ME 4730","Engineering Ceramics","#me4730,0#Student Voice,2#TA Voice"
"ME 4770",,"ME 4770","Mechanical Behavior of Metals","#me4770,0#Student Voice,2#TA Voice"
"ME 4870",,"ME 4870","Machining","#me4870,0#Student Voice,2#TA Voice"
"ME 4910",,"ME 4910","Capstone Design I","#me4910,0#Student Voice,2#TA Voice"
"ME 4920",,"ME 4920","Capstone Design II","#me4920,0#Student Voice,2#TA Voice"
"ME 4980 (Metrology)",,"ME 4980 (Metrology)","Metrology","#me-4980-metrology,0#Student Voice,2#TA Voice"
"ME 4980 (Advanced CAD/CAM)",,"ME 4980 (Advanced CAD/CAM)","Advanced CAD/CAM","#me-4980-advanced-cad/cam,0#Student Voice,2#TA Voice"
"ME 5120",,"ME 3120","Mechanics of Materials",
"ME 5210",,"ME 3210","System Dynamics",
"ME 5310",,"ME 3310","Thermodynamics I",
"ME 5320",,"ME 3320","Thermodynamics II",
"ME 5350",,"ME 3350","Fluid Dynamics",
"ME 5360",,"ME 3360","Heat Transfer",
"ME 5750",,"ME 3750","Thermodynamics of Materials",
"ME 6010",,"ME 4010","Computational Methods for Mechanical Engineering",
"ME 6120",,"ME 4120","Finite Element Analysis",
"ME 6140",,"ME 4140","Mechanical Design I",
"ME 6150",,"ME 4150","Mechanical Design II",
"ME 6210",,"ME 6210","Mechanical Vibrations","#me6210,0#Student Voice,2#TA Voice"
"ME 6550",,"ME 4550","Geothermal Energy",
"ME 6570",,"ME 4570","Energy Materials",
"ME 6720",,"ME 6720","Engineering Polymers I","#me6720,0#Student Voice,2#TA Voice"
"ME 6730",,"ME 6730","Introduction to Ceramics","#me6730,0#Student Voice,2#TA Voice"
"ME 6770",,"ME 4770","Mechanical Behavior of Metals",
"ME 6980",,"ME 4980 (Metrology)","Metrology",
"ME 7100",,"ME 7100","Advanced Mechanics of Solids","#me7100,0#Student Voice,2#TA Voice"
"ME 7300",,"ME 7300","Advanced Fluid Dynamics","#me7300,0#Student Voice,2#TA Voice"
"ME 7550",,"ME 7550","Photovoltaics","#me7550,0#Student Voice,2#TA Voice"
"ME 7750",,"ME 7750","Advanced Engineering Materials","#me7750,0#Student Voice,2#TA Voice"
"ME 7980",,"ME 7980","Fracture Mechanics and Fatigue","#me7980,0#Student Voice,2#TA Voice"
"Career Services","career_services","Career Services",,
"ACM","acm","ACM","Association for Computing Machinery",
"IEEE","ieee","IEEE","Institute of Electrical and Electronics Engineers",
"Collegiate Esports Club","esports_club","https://discord.gg/smmV38d",,
